P1,P2,P3,P4,P5,P6,P7,P8,P9
0.595378442,-0.531958013,0.679654045,-0.126799374,0.432045865,0.988091839,-0.029812601,0.768741642,-0.054166781
0.982236593,0.991480958,0.337646147,0.228143988,0.920032191,0.999985324,-0.032258992,2.161650801,-0.05434974
0.996162337,0.893987494,0.767413498,0.606839713,0.970807848,0.882601755,-0.032266729,0.369607281,-0.05415696
0.999928399,0.922747892,-0.444438457,-0.371287107,0.528037544,-0.221645387,-0.032692409,-1.065439464,0.381914177
0.985838408,0.937511528,0.699591982,0.585263408,0.838804121,0.999601694,-0.033713342,2.08972004,-0.054379021
0.994265688,0.917955271,0.441420963,0.588541183,0.714375568,0.997313804,-0.030094889,2.081266066,-0.054256954
0.999477958,0.989320554,0.65413855,0.705176765,0.350524732,0.877973508,-0.030983776,0.605392647,-0.054115822
0.999645753,0.275265043,-0.33356861,-0.441021828,0.576963119,0.607380222,-0.032128802,1.039586381,-0.054263518
0.825371384,-0.24824377,0.220238261,0.128478367,0.364442719,0.951264631,-0.030247053,1.512327358,-0.054220936
0.999982654,0.629481554,0.034662503,-0.079224291,0.941435299,0.878836736,-0.032445432,0.781913592,-0.054252041
0.999954079,0.968513898,-0.250644228,-0.210620448,0.740707162,0.999447976,-0.032574193,2.141699545,-0.054363691
0.999506204,0.99955144,0.771544795,0.768880399,0.589258174,0.844832684,-0.032630804,0.691588698,-0.054247328
0.999852831,0.962245658,0.76919209,0.793365067,0.785273037,0.846043772,-0.031973833,1.780974749,-0.054320641
0.948575476,0.464917365,0.36666238,0.515506243,-0.192307883,0.997202825,-0.031555155,1.838233334,-0.054303807
0.999996776,0.991016887,0.652235298,0.610162149,0.806437796,-0.069820217,-0.032595251,-0.930211858,-0.051189096
0.998908467,0.993117635,0.853987303,0.880931911,0.8219376,0.912059599,-0.030913618,0.588613479,-0.054118944
0.98415231,0.996556393,0.882500819,0.793413958,0.544915993,0.730329889,-0.029095263,0.655717309,-0.054307327
0.998521124,0.999807434,0.402828493,0.435249381,0.84442901,0.998033597,-0.03244437,1.789110219,-0.054350538
1,0.991130365,0.010645688,0.01487134,0.844023417,0.99995922,-0.032508615,2.173316021,-0.054363624
0.999991761,0.935029236,0.28569047,0.254471808,0.390613362,0.999999961,-0.032569138,2.177785659,-0.054366327
0.31020196,0.714826714,0.999397198,0.450585589,0.951492878,0.99453044,3.957173837,-0.56773328,-0.042840517
0.999979223,0.491831931,-0.425706783,-0.150484394,0.208559498,0.984083294,-0.032339886,1.861828427,-0.054341247
