Seller ID, Buyer ID, Amount
6941,707,84
17371,707,27
18216,707,5
76646,707,29
78095,707,56
117584,707,569
136859,707,7
138668,707,24
83910,1014,836
99088,1014,430
3375,1304,1216
199098,1368,71
31541,1443,5
655,1547,17
17476,1547,45
74270,1549,15
137492,1761,7
89711,1774,33
187641,1904,7
6782,1916,16
3771,2102,81
46046,2134,52
51110,2134,12
76394,2134,37
141851,2134,33
143297,2134,1084
193884,2134,22
220116,2134,9
46231,2277,100
3375,2290,83
15553,2290,6
60514,2290,5
102425,2290,12
43866,2378,12
39137,2591,7
30420,2676,53
159226,2898,5
183507,2898,31
13513,3291,79
26478,3291,47
115410,3291,9
170283,3291,29
2139,3319,25
11422,3319,6
1653,3326,14
40583,3326,157
199098,3326,254
9403,3375,6
42882,3401,114
12520,3442,41
86414,3566,10
170609,3566,79
149440,3575,9
39516,3592,19
110815,3592,13
195075,3592,7
47030,3771,629
203750,4197,176
15869,4739,1563
83103,4925,22
8441,4935,98
12541,4935,7
18145,4935,7
20433,4935,284
59106,4935,48
63691,4935,86
132923,4935,11
139738,4935,148
179253,4935,79
181962,4935,5
235183,4935,30
49240,4942,44
132542,5046,5
180218,5046,65
85940,5244,14
117584,5387,6
11382,6722,83
20311,6722,468
20433,6722,1025
40730,6722,17
52725,6722,355
86038,6722,84
174745,6722,8
154794,6729,12
85291,6782,330
18216,6941,119
20507,6941,117
24369,6941,16
24424,6941,20
29189,6941,92
50777,6941,54
97862,6941,24
214293,7184,8
3771,7199,168
122018,7644,32
25861,7656,27
2277,7733,266
50279,7796,43
89114,7923,5
85079,8150,5
27592,8245,163
15503,8284,15
56462,8441,33
226821,8451,10
40538,8505,7
74720,8584,10
53411,8653,7
124449,8653,8
221536,8653,34
3346,9010,29
14136,9010,82
78121,9010,249
13548,9058,89
23917,9058,805
40538,9058,29
133268,9058,21
6941,9077,875
38886,9077,32
123940,9112,5
8319,9198,126
7921,9247,46
133553,9247,8
17056,9279,17
3375,9310,5077
33449,9310,990
3711,9316,88
6722,9316,299
53495,9316,8
2072,9468,127
117484,9468,8
3341,9621,5
39218,9621,5
45304,9621,5
75726,9621,5
20718,9737,189
170476,9890,7
20718,9902,11
25674,10348,6
40730,10348,20
17371,10481,8
47004,10491,98
88954,10491,47
25663,10855,40
67272,10855,16
90768,11101,81
37989,594,5
36449,600,12
12520,707,200
20485,707,31
43810,707,41
47004,707,212
48550,873,7
196131,1014,603
13775,1547,502
113280,1547,7
96340,1761,89
193380,1761,13
113272,1916,10
1653,2102,78
7199,2102,896
32098,2102,91
45115,2102,8
133493,2134,18
136937,2134,38
72455,2194,139
9403,2277,10
15553,2277,34
32335,2277,1769
116925,2277,150
129137,2277,10
77301,2290,7
19976,2378,133
47004,2415,51
96317,2415,226
2216,2591,397
101187,2591,32
29144,2676,10
137868,2676,11
69956,2867,24
177563,2975,16
13097,3028,6
10950,3291,23
12640,3291,47
25663,3291,24
31755,3291,10
185988,3291,46
16673,3319,85
31734,3319,39
45056,3326,65
65209,3326,21
230558,3326,22
3541,3346,43
8245,3346,38
49240,3401,46
6941,3442,35
18216,3442,18
20507,3442,20
102947,3442,51
4953,3497,15
15503,3566,17
38886,3566,9
80176,3566,43
17371,3592,22
129137,3592,16
80176,3659,6
8150,3747,697
57645,3771,17
109414,3771,94
154435,3771,20
11599,4000,928
45409,4114,14
90422,4197,199
2134,4555,687
51668,4645,9
144475,4678,12
12647,4739,364
112039,4925,50
2591,4935,394
71364,4935,41
125732,4935,34
152486,4935,5
6729,4989,14
84243,5244,10
163409,5625,8
88445,5748,27
148597,5748,88
177285,5748,35
54024,6722,5
107120,6722,208
107120,6729,10
73386,6744,45
114370,6789,50
30639,6941,5
32033,6941,5
105971,6941,12
563,7184,599
11106,7184,6
35877,7184,74
144909,7184,6
155400,7184,177
91114,7199,63
2070,7327,5
110815,7656,7
50232,7744,29
56568,7744,198
50402,7796,5
67184,8245,20
114322,8245,29
35133,8319,25
85291,8441,315
3254,8505,11
4953,8584,5
63062,8653,9
72455,8653,5
